Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7, Channel 8
160.761617999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
160.781274999999994, 0, 0, 0, 0, 0, 0, 1, 0, 1
161.036496999999997, 0, 0, 0, 0, 0, 0, 0, 0, 1
161.046717999999998, 0, 0, 0, 0, 0, 0, 0, 0, 0
161.763069999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
162.004364999999979, 0, 0, 0, 0, 1, 0, 0, 0, 1
162.048169999999999, 0, 0, 0, 0, 1, 0, 0, 0, 0
162.289848000000006, 0, 0, 0, 0, 0, 0, 0, 0, 0
162.764521999999999, 0, 0, 0, 0, 0, 0, 0, 0, 1
163.049621999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
163.764051999999992, 0, 0, 0, 0, 0, 0, 0, 0, 1
163.773565999999988, 0, 0, 0, 0, 0, 0, 0, 1, 1
164.022487999999981, 0, 0, 0, 0, 0, 0, 0, 0, 1
164.049150999999995, 0, 0, 0, 0, 0, 0, 0, 0, 0
164.760022999999990, 0, 1, 0, 0, 0, 0, 0, 0, 0
164.761102999999991, 0, 1, 1, 0, 0, 0, 0, 0, 0
164.765753999999987, 0, 1, 1, 0, 0, 1, 0, 0, 0
164.768026999999989, 0, 1, 1, 0, 0, 1, 0, 0, 1
165.047571000000005, 0, 0, 1, 0, 0, 1, 0, 0, 1
165.047839999999979, 0, 0, 0, 0, 0, 1, 0, 0, 1
165.052612999999980, 0, 0, 0, 0, 0, 0, 0, 0, 1
165.053124999999994, 0, 0, 0, 0, 0, 0, 0, 0, 0
165.761298999999980, 1, 0, 0, 0, 0, 0, 0, 0, 0
165.769478999999990, 1, 0, 0, 0, 0, 0, 0, 0, 1
165.769647999999989, 1, 0, 0, 1, 0, 0, 0, 0, 1
165.788169999999980, 1, 0, 0, 1, 0, 0, 1, 0, 1
166.016886000000000, 1, 0, 0, 0, 0, 0, 1, 0, 1
166.047519999999992, 0, 0, 0, 0, 0, 0, 1, 0, 1
166.054585000000003, 0, 0, 0, 0, 0, 0, 1, 0, 0
166.075162000000006, 0, 0, 0, 0, 0, 0, 0, 0, 0
166.768469999999979, 0, 0, 0, 0, 1, 0, 0, 0, 0
166.770329000000004, 0, 0, 0, 0, 1, 0, 0, 0, 1
167.053955000000002, 0, 0, 0, 0, 0, 0, 0, 0, 1
167.055438999999978, 0, 0, 0, 0, 0, 0, 0, 0, 0
167.769858999999997, 0, 0, 0, 0, 0, 0, 0, 0, 1
168.054968000000002, 0, 0, 0, 0, 0, 0, 0, 0, 0
168.773231999999979, 0, 0, 0, 0, 0, 0, 0, 0, 1
169.058337999999992, 0, 0, 0, 0, 0, 0, 0, 0, 0
169.767281999999994, 0, 1, 0, 0, 0, 0, 0, 0, 0
169.773011999999994, 0, 1, 0, 0, 0, 1, 0, 0, 0
169.775368999999984, 0, 1, 0, 0, 0, 1, 0, 0, 1
169.782190999999983, 0, 1, 0, 0, 0, 1, 0, 1, 1
169.845546999999982, 0, 1, 1, 0, 0, 1, 0, 1, 1
170.054828999999984, 0, 0, 1, 0, 0, 1, 0, 1, 1
170.059865000000002, 0, 0, 1, 0, 0, 0, 0, 1, 1
170.060467999999986, 0, 0, 1, 0, 0, 0, 0, 1, 0
170.069357999999994, 0, 0, 1, 0, 0, 0, 0, 0, 0
170.132294999999999, 0, 0, 0, 0, 0, 0, 0, 0, 0
170.774385999999993, 0, 0, 0, 1, 0, 0, 0, 0, 0
170.776134999999982, 0, 0, 0, 1, 0, 0, 0, 0, 1
171.059724999999986, 0, 0, 0, 0, 0, 0, 0, 0, 1
171.061248000000006, 0, 0, 0, 0, 0, 0, 0, 0, 0
171.769920999999982, 1, 0, 0, 0, 0, 0, 0, 0, 0
171.775728999999984, 1, 0, 0, 0, 1, 0, 0, 0, 0
171.777586999999983, 1, 0, 0, 0, 1, 0, 0, 0, 1
171.797242999999980, 1, 0, 0, 0, 1, 0, 1, 0, 1
172.020240999999999, 0, 0, 0, 0, 1, 0, 1, 0, 1
172.061221999999987, 0, 0, 0, 0, 0, 0, 1, 0, 1
172.062692999999996, 0, 0, 0, 0, 0, 0, 1, 0, 0
172.084231999999986, 0, 0, 0, 0, 0, 0, 0, 0, 0
172.779038999999983, 0, 0, 0, 0, 0, 0, 0, 0, 1
173.064146999999991, 0, 0, 0, 0, 0, 0, 0, 0, 0
173.780489999999986, 0, 0, 0, 0, 0, 0, 0, 0, 1
174.065597999999994, 0, 0, 0, 0, 0, 0, 0, 0, 0
174.780021000000005, 0, 0, 0, 0, 0, 0, 0, 0, 1
174.829088999999982, 0, 1, 0, 0, 0, 0, 0, 0, 1
174.833242999999982, 0, 1, 0, 0, 0, 1, 0, 0, 1
174.887736999999987, 0, 1, 1, 0, 0, 1, 0, 0, 1
175.065122000000002, 0, 1, 1, 0, 0, 1, 0, 0, 0
175.116653999999983, 0, 0, 1, 0, 0, 1, 0, 0, 0
175.120092000000000, 0, 0, 1, 0, 0, 0, 0, 0, 0
175.174485000000004, 0, 0, 0, 0, 0, 0, 0, 0, 0
